Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,0,0.9517266224074932,0.9934297428507711
1,1,0.6768920658581205,0.9745240192424961
1,2,0.9614913264865798,0.993906964701821
1,3,0.9517847583193741,0.9904847427772118
1,4,0.9250303745914403,0.9945069048719133
1,5,0.9841486839600602,0.9880942080398706
2,0,0.9828519855595668,0.9977436823104693
2,1,0.9592747936679745,0.9859288323636856
2,2,0.9939586645468999,0.9941176470588236
2,3,0.9944107313957202,0.9937719578409454
2,4,0.9888103651354535,0.9976442873969376
2,5,0.9956040377727124,0.9829045913383263
3,0,0.9794594594594594,0.9967567567567568
3,1,0.9610311750599521,0.9946043165467626
3,2,0.9911816578483245,0.9964726631393298
3,3,0.9777365491651205,0.9981447124304267
3,4,0.980355472404116,0.9953227315247896
3,5,0.9856801909307876,0.9785202863961814
4,0,0.9868204283360791,0.9974111555660156
4,1,0.8253205128205128,0.9895833333333334
4,2,0.992289899768697,0.9951169365201747
4,3,0.9922340150142377,0.9922340150142377
4,4,0.982699749601639,0.9972683815160482
4,5,0.9975955116216938,0.9812984237242853
5,0,0.9219765929778934,1.0
5,1,0.908068783068783,0.998015873015873
5,2,0.8856447688564477,0.9951338199513382
5,3,0.8955613577023499,0.9947780678851175
5,4,0.9101861993428259,0.9923329682365827
5,5,0.8783269961977186,0.9923954372623575
6,0,0.9663739021329988,0.9959849435382685
6,1,0.6577834179357022,0.9877326565143824
6,2,0.9669148056244831,0.9942100909842845
6,3,0.9738816337871631,0.9927757710475132
6,4,0.9389682731896343,0.9956405909421168
6,5,0.9873526875538948,0.9790169588962345
7,0,0.8023622047244094,0.9976377952755906
7,1,0.6920019870839543,0.9890710382513661
7,2,0.7050438596491229,0.9967105263157895
7,3,0.6821266968325792,0.996606334841629
7,4,0.7758132956152758,0.9929278642149929
7,5,0.7787958115183246,0.9869109947643979
