Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.9799163179916318,0.9608976797261316
1,3,0.9789520924492314,0.972714013239089
1,4,0.9623893141227675,0.9601380759417679
1,5,0.9738412115649381,0.9599510478812912
1,6,0.9699001639099986,0.9662643421248697
1,7,0.9661812297734628,0.9566882416396979
1,8,0.9768434343434343,0.9683838383838383
1,9,0.9738106307143964,0.9690686502401984
1,10,0.9575149134293612,0.9394733013240215
1,11,0.9699842022116903,0.9617693522906793
1,12,0.9629357798165138,0.9448318042813456
2,3,0.9898293743726999,0.9868629418980707
2,4,0.9762885210604225,0.9743506930426591
2,5,0.9872473205806539,0.9788088454755122
2,6,0.9714482000549601,0.9660346248969497
2,7,0.9766786570743405,0.9709232613908872
2,8,0.9863858961802154,0.9786483839373163
2,9,0.9872531418312388,0.9810293237582286
2,10,0.9698160274399751,0.954318677892111
2,11,0.9825248479454087,0.9721109627651684
2,12,0.9784097859327218,0.9651987767584098
3,4,0.9839555555555556,0.9866666666666667
3,5,0.997,0.9945333333333334
3,6,0.9792666666666666,0.9808222222222223
3,7,0.9856222222222222,0.9858888888888889
3,8,0.9962,0.9960666666666667
3,9,0.9994444444444445,0.9996444444444444
3,10,0.9714060031595576,0.9610697359512526
3,11,0.9933829611248967,0.9923628342983182
3,12,0.9903975535168196,0.9897247706422019
4,5,0.9813555555555555,0.9842666666666666
4,6,0.9641111111111111,0.969
4,7,0.9727111111111111,0.9758888888888889
4,8,0.983,0.9812
4,9,0.9828213468256837,0.9819057944825924
4,10,0.9702157272094641,0.9593133843655764
4,11,0.9786747685185185,0.974855324074074
4,12,0.9730275229357798,0.9745565749235474
5,6,0.9773777777777778,0.9761777777777778
5,7,0.9836,0.9830666666666666
5,8,0.9950222222222223,0.9953111111111111
5,9,0.9962700484893696,0.9953997264702226
5,10,0.973816495851635,0.9601268911664227
5,11,0.9904956984842278,0.9894851836678956
5,12,0.9866666666666667,0.9837920489296637
6,7,0.9714888888888888,0.9699111111111111
6,8,0.9774,0.9773555555555555
6,9,0.9785777777777778,0.9758888888888889
6,10,0.9558888888888889,0.9430444444444445
6,11,0.9720670391061452,0.9718109869646182
6,12,0.9620183486238532,0.9590214067278288
7,8,0.9829777777777777,0.9839333333333333
7,9,0.9861555555555556,0.9861111111111112
7,10,0.9623111111111111,0.9554444444444444
7,11,0.9786046511627907,0.9797018485390578
7,12,0.9726605504587156,0.9719877675840979
8,9,0.9966666666666667,0.9967111111111111
8,10,0.9710666666666666,0.9710222222222222
8,11,0.9908339788277821,0.989697908597986
8,12,0.9870336391437309,0.9875840978593272
9,10,0.9737111111111111,0.964
9,11,0.9925724637681159,0.9949016563146998
9,12,0.9899082568807339,0.9911926605504587
10,11,0.9712837374982874,0.9644882860665844
10,12,0.9556574923547401,0.949908256880734
11,12,0.9803058103975535,0.9755963302752294
