Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.6136388562475519,0.9583548766157461
1,3,0.9346666207703693,0.9970827166018381
1,4,0.800304431348289,0.9733907465893921
1,5,0.9858575225209678,0.9983432851275326
1,6,0.9326787874824237,0.9634331774631307
1,7,0.9947388232073503,0.9940972162814173
2,3,0.9397372742200328,0.9067323481116585
2,4,0.5202274573517466,0.6610073111291633
2,5,0.9658792650918635,0.9662073490813649
2,6,0.4733603238866397,0.6246963562753036
2,7,0.88836143394991,0.8931903748567687
3,4,0.9487144790257104,0.8258457374830852
3,5,0.7584586466165414,0.8458646616541353
3,6,0.6495381062355658,0.4234988452655889
3,7,0.6064618644067796,0.8172669491525424
4,5,0.9537725823591924,0.9539054197662061
4,6,0.35292777398040553,0.4434951013898382
4,7,0.8478654592496766,0.8428201811125485
5,6,0.9687142857142857,0.9607142857142857
5,7,0.6495433789954338,0.9023972602739726
6,7,0.8265479219677693,0.8131184619734239
