Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.9849381387842926,0.9817105970952125
0,2,0.9973614775725593,0.9973614775725593
0,3,0.989041095890411,0.9863013698630136
0,4,0.9920634920634921,0.9944444444444445
0,5,0.9967213114754099,0.9967213114754099
1,2,0.9926715522984677,0.9940039973351099
1,3,0.9850644942294636,0.9850644942294636
1,4,0.9905142286570144,0.9910134797803295
1,5,0.9948263118994827,0.9940872135994088
2,3,0.978494623655914,0.9811827956989247
2,4,0.9955654101995566,0.9933481152993349
2,5,0.996031746031746,0.996031746031746
3,4,0.9919908466819222,0.9954233409610984
3,5,0.9776785714285714,0.9776785714285714
4,5,0.9946949602122016,0.9973474801061007
