Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy
0,1,0.8327389853905441,0.9494995973772
0,2,0.8016855565242662,0.9612321999418774
0,3,0.9710528012378312,0.9735026755205983
0,4,0.8855881965485444,0.9581082861283099
0,5,0.8922124806601341,0.9593218153687467
0,6,0.87752762996316,0.9568563241915677
0,7,0.8534954971683223,0.965834184383994
0,8,0.8650740563784042,0.9649307214524606
0,9,0.9326318197415074,0.9710625643371841
0,10,0.803186274509804,0.9610294117647059
0,11,0.900990099009901,0.9494881691558986
0,12,0.941304347826087,0.8454106280193237
1,1,0.8319912573334867,0.9450132290348556
1,2,0.8038360941586749,0.9664051147922116
1,3,0.9689252788343756,0.9618335374895236
1,4,0.8865762086681597,0.964760901067053
1,5,0.8919546157813306,0.9554538421866942
1,6,0.8758902988129349,0.9455587392550143
1,7,0.8520100269241482,0.9630489276761675
1,8,0.8643096034400383,0.9529861442904921
1,9,0.9281711083152236,0.9603111060276793
1,10,0.7963235294117647,0.9572303921568628
1,11,0.8936063097835207,0.9531800637690888
1,12,0.9338164251207729,0.8664251207729469
2,1,0.8319337397906361,0.9551938341194064
2,2,0.8058703865155478,0.9726242371403662
2,3,0.973438205144736,0.959254722455032
2,4,0.8970491371360823,0.9637070214727967
2,5,0.8982723053120165,0.9678958225889633
2,6,0.8856324191567745,0.9589029881293492
2,7,0.8656577847924983,0.9624918763346022
2,8,0.8730052556139513,0.9597706641184902
2,9,0.9398375843531969,0.9641999313736703
2,10,0.8182598039215686,0.9561274509803922
2,11,0.9071991944957207,0.9560328914247357
2,12,0.9376811594202898,0.8342995169082126
3,1,0.8339468537904061,0.948981939491545
3,2,0.803777971519907,0.9403661726242372
3,3,0.9711817419895558,0.9358519760170202
3,4,0.8907917270451851,0.9549466473455408
3,5,0.89853017019082,0.9690562145435792
3,6,0.8814572247237004,0.9606221858370856
3,7,0.8598087457060626,0.96750533840869
3,8,0.8728141423793597,0.9621595795508839
3,9,0.9337755919020931,0.9632849136452019
3,10,0.8199754901960784,0.9585784313725491
3,11,0.8993119650948146,0.9520053700285283
3,12,0.9400966183574879,0.8746376811594203
4,1,0.8341194064189578,0.8929023352122397
4,2,0.8062191223481546,0.9498401627433886
4,3,0.9708593901102444,0.953516859003288
4,4,0.8876959557370571,0.9592939006718483
4,5,0.8947911294481692,0.9607400722021661
4,6,0.8785918952108064,0.945149406467458
4,7,0.8560950700956271,0.9588710426144277
4,8,0.8661251791686574,0.9576684185379838
4,9,0.9329749513896832,0.9539059819283998
4,10,0.8047794117647059,0.9464460784313725
4,11,0.8993119650948146,0.9513341164624937
4,12,0.9384057971014492,0.8485507246376811
5,1,0.8368802484757851,0.9627861497756816
5,2,0.8076721883173497,0.9618715489683232
5,3,0.9724066791309394,0.9394623170653085
5,4,0.8959293900671849,0.964695033592412
5,5,0.8978855079938113,0.9674445590510572
5,6,0.8831764224314368,0.9517805976258699
5,7,0.8579519079008449,0.9684337573112989
5,8,0.872336359292881,0.9614906832298137
5,9,0.9378931716802013,0.96820313393572
5,10,0.8150735294117647,0.9587009803921569
5,11,0.9051854337976171,0.9551938244671925
5,12,0.9417874396135266,0.879951690821256
6,1,0.8386057747613022,0.9509950534913149
6,2,0.8093577448416158,0.9630340017436791
6,3,0.9730513828895623,0.9651215266585004
6,4,0.8950072454222106,0.949677249374259
6,5,0.9060727178958226,0.9583548220732336
6,6,0.8853868194842407,0.9609496520671306
6,7,0.864357998328846,0.9740971126172129
6,8,0.8798853320592451,0.9727663640707119
6,9,0.935376872926913,0.971863204849594
6,10,0.8160539215686274,0.952328431372549
6,11,0.9048498070145997,0.9570397717737875
6,12,0.9456521739130435,0.8797101449275362
7,1,0.8332566432761992,0.9526055446911308
7,2,0.8044173205463528,0.9521650682941005
7,3,0.9699568048481723,0.9477789955515441
7,4,0.8881570280595442,0.9508628639177974
7,5,0.8951134605466735,0.9677668901495616
7,6,0.8807204257060991,0.9495702005730658
7,7,0.8550738093027574,0.9568285210286881
7,8,0.8678451982799809,0.9618729096989966
7,9,0.9300011437721606,0.9643143085897289
7,10,0.7998774509803922,0.9486519607843137
7,11,0.8974660177882195,0.9484812888068468
7,12,0.93743961352657,0.8657004830917875
8,1,0.8284251696767514,0.9492120096629472
8,2,0.8030223772159256,0.9618715489683232
8,3,0.9720198568757655,0.9490684030687899
8,4,0.8869055460413647,0.9521802134106179
8,5,0.8965317173800929,0.9744713769984528
8,6,0.8779369627507163,0.9511256651657798
8,7,0.8561879119858881,0.9422523442577291
8,8,0.870043000477783,0.9645484949832775
8,9,0.9333180830378589,0.9593960882992107
8,10,0.803186274509804,0.9546568627450981
8,11,0.9001510320523578,0.9503272361134418
8,12,0.9403381642512078,0.8886473429951691
9,1,0.8304382836765214,0.9440929483492465
9,2,0.800290613193839,0.9591397849462365
9,3,0.972342208755077,0.9664109341757462
9,4,0.8890791727045185,0.949611381899618
9,5,0.8974342444559051,0.9617070654976793
9,6,0.8771182971756037,0.9584117887842816
9,7,0.8581375916813666,0.9331538390121623
9,8,0.8737697085523173,0.9629240324892498
9,9,0.9318311792290975,0.9651149491021389
9,10,0.8079656862745098,0.9631127450980392
9,11,0.8999832186608492,0.9577110253398221
9,12,0.9432367149758454,0.8690821256038648
