Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy
0,1,0.6083906785013796,0.903460656228184
0,2,0.9422331806974287,0.9144064811553364
0,3,0.952755905511811,0.848604151753758
0,4,0.8329519450800915,0.9048708728342596
0,5,0.910538286580743,0.821076573161486
0,6,0.7000341646737274,0.8860608131192347
0,7,0.7668047148773495,0.8489964956992673
1,1,0.8313334118716236,0.9479796024840539
1,2,0.9616670954463596,0.9417288397221507
1,3,0.9648951730862994,0.886396879570941
1,4,0.9644651162790697,0.939906976744186
1,5,0.9118733509234829,0.8949868073878628
1,6,0.9176286441009587,0.935237722559186
1,7,0.7604340567612687,0.8973288814691152
2,1,0.6031229345670852,0.9435393258426966
2,2,0.9363380281690141,0.8947605633802816
2,3,0.9501903553299492,0.8140862944162437
2,4,0.8378628783199505,0.8707535515750463
2,5,0.914218958611482,0.7780373831775701
2,6,0.7132968448164843,0.8749195106245976
2,7,0.78524449528167,0.8184157849585358
3,1,0.6023155182664993,0.9067681839201955
3,2,0.9364259238458946,0.8785802538470179
3,3,0.9528301886792453,0.8286163522012578
3,4,0.8387146371463715,0.8916051660516605
3,5,0.917989417989418,0.8416005291005291
3,6,0.7136217948717949,0.89375
3,7,0.7900709219858156,0.8527659574468085
4,1,0.6199140257922623,0.9226232130360892
4,2,0.9369401648154784,0.9082766033679684
4,3,0.9479245283018868,0.7962264150943397
4,4,0.832105791764312,0.8880147304988283
4,5,0.9065757818765036,0.7963111467522053
4,6,0.7028021015761822,0.8929947460595447
4,7,0.7569282136894825,0.8333889816360601
5,1,0.5985527790598009,0.9553636183820136
5,2,0.936273966529979,0.9521223539842625
5,3,0.9521212121212121,0.8945454545454545
5,4,0.8387681159420289,0.9396135265700483
5,5,0.9169847328244275,0.8107506361323156
5,6,0.7143081761006289,0.9487421383647798
5,7,0.7934156378600823,0.9152263374485596
