Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,0,0.968881473959089,0.9792543159727259
1,1,0.9683011751051792,0.99376178732047
1,2,0.9738140142173219,0.9874510372842014
1,3,0.971202669374728,0.9860002901494269
1,4,0.9696068475264762,0.9792543159727259
1,5,0.9716378935151603,0.9854925286522559
1,6,0.9620629624256493,0.9841143188742202
1,7,0.9735964021471057,0.9911504424778761
1,8,0.9770781952705644,0.9855650660089946
1,9,0.9791817786159872,0.9849122297983461
2,0,0.9729511209114297,0.9938993017273061
2,1,0.9684674751929437,0.9935317897831679
2,2,0.9748621830209482,0.987063579566336
2,3,0.9736126424108783,0.9841969864020581
2,4,0.9708195516354281,0.9878721058434399
2,5,0.9730246233002573,0.9856670341786108
2,6,0.9575156192576258,0.9886071297317163
2,7,0.9742006615214994,0.9942668136714443
2,8,0.9774347666299155,0.9859610437339213
2,9,0.9800808526277104,0.9848585079015068
3,0,0.9973134077743262,0.9910167072454034
3,1,0.9977331878095878,0.9942909915204433
3,2,0.9926118713793972,0.9896734111325666
3,3,0.9968096717320124,0.9919402233229787
3,4,0.997229451767274,0.9885819830408866
3,5,0.9915204432877173,0.9842162706741667
3,6,0.9846360507094283,0.990345059188985
3,7,0.996977583746117,0.9853076987658467
3,8,0.9935353874569726,0.9893375871043573
3,9,0.9949626395768617,0.9957182436403325
4,0,0.989380072526334,0.9898981177689519
4,1,0.9824728026247626,0.9960283198065965
4,2,0.9590744258331895,0.9897254360214125
4,3,0.9788464859264375,0.9910205491279572
4,4,0.9818684165083751,0.9910205491279572
4,5,0.9620963564151269,0.9887756864099465
4,6,0.8924192712830253,0.9871352098083233
4,7,0.9829045069936108,0.9916249352443447
4,8,0.9866171645657054,0.993006389224659
4,9,0.9874805733034018,0.9934380935935072
5,0,0.9903458697112156,0.993619879113499
5,1,0.9861484217595702,0.9946272666218939
5,2,0.9522330423102754,0.9839657488247145
5,3,0.9822867696440564,0.9922766957689725
5,4,0.9801040967092008,0.9976494291470785
5,5,0.9534083277367361,0.9922766957689725
5,6,0.8226158495634655,0.9848891873740766
5,7,0.9789288112827401,0.9937877770315648
5,8,0.9864002686366689,0.9959704499664204
5,9,0.9810275352585628,0.9878274009402284
6,0,0.9900174114915844,0.9880441091120139
6,1,0.9921067904817179,0.9943122460824144
6,2,0.9312826465467209,0.9788740568775391
6,3,0.9767846778874056,0.9789901334881022
6,4,0.9733023795705166,0.9766686012768427
6,5,0.9281485780615206,0.9847939640162507
6,6,0.7639001741149158,0.9886244921648288
6,7,0.9679628554846198,0.9905977945443993
6,8,0.9785258270458502,0.9901334881021474
6,9,0.9787579802669762,0.9846778874056877
7,0,0.9892623065123414,0.9912146144191883
7,1,0.9870310974759448,0.9962348347510808
7,2,0.9288802119648585,0.9938641751499093
7,3,0.9751777994700879,0.9937247245851346
7,4,0.9714126342211686,0.991493515548738
7,5,0.9373866964161205,0.9905173615953144
7,6,0.7719983265932227,0.9928880211964859
7,7,0.9723887881745921,0.9937247245851346
7,8,0.977687909636034,0.9945614279737833
7,9,0.97378329382234,0.9931669223260354
8,0,0.9720320466132556,0.9934450109249818
8,1,0.9600873998543336,0.992571012381646
8,2,0.9628550619082301,0.9928623452294246
8,3,0.969264384559359,0.9930080116533139
8,4,0.9630007283321195,0.9912600145666424
8,5,0.9587764020393299,0.9877640203932994
8,6,0.8725418790968682,0.995047341587764
8,7,0.9680990531682447,0.9928623452294246
8,8,0.9680990531682447,0.9959213401310998
8,9,0.9729060451565914,0.9906773488710852
9,0,0.9941668286992028,0.995722341046082
9,1,0.9949445848726425,0.9955279020027221
9,2,0.9508069220299437,0.993777950612483
9,3,0.991639121135524,0.9953334629593622
9,4,0.9844448765312075,0.9935835115691231
9,5,0.9552790200272214,0.9883336573984056
9,6,0.7736729535290686,0.9908613649620844
9,7,0.9858059498347268,0.9970834143496013
9,8,0.9881392183550457,0.9945557067859226
9,9,0.9881392183550457,0.993777950612483
10,0,0.9828947368421053,0.9896929824561403
10,1,0.9714912280701754,0.9949561403508772
10,2,0.9414473684210526,0.9896929824561403
10,3,0.9600877192982457,0.9817982456140351
10,4,0.9671052631578947,0.9890350877192983
10,5,0.9423245614035087,0.9881578947368421
10,6,0.855701754385965,0.9855263157894737
10,7,0.968859649122807,0.9903508771929824
10,8,0.9780701754385965,0.9964912280701754
10,9,0.9728070175438597,0.993859649122807
11,0,0.9792284866468842,0.996608732513777
11,1,0.9953370072064434,0.9983043662568886
11,2,0.884272997032641,0.9902501059771089
11,3,0.9487070792708775,0.9902501059771089
11,4,0.9516744383213226,0.9919457397202205
11,5,0.8724035608308606,0.9915218312844426
11,6,0.6841882153454854,0.993217465027554
11,7,0.9431962696057652,0.9949130987706656
11,8,0.9504027130139889,0.9927935565917761
11,9,0.969902501059771,0.989826197541331
12,0,0.9722222222222222,0.987037037037037
12,1,0.9962962962962963,0.9833333333333333
12,2,0.95,0.9833333333333333
12,3,0.9666666666666667,0.9833333333333333
12,4,0.9851851851851852,0.9814814814814815
12,5,0.9481481481481482,0.912962962962963
12,6,0.9074074074074074,0.9814814814814815
12,7,0.9777777777777777,0.9833333333333333
12,8,0.975925925925926,0.9851851851851852
12,9,0.9703703703703703,0.9833333333333333
