Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.9626008617312966,0.9525264394829612
1,3,0.9828835496196344,0.997375305497229
1,4,0.9732279490769381,0.976329241689187
1,5,0.996686570255065,0.9974372691816519
1,6,0.9741587914064288,0.9727281645466139
1,7,0.9910602768320016,0.9945078447140144
2,3,0.9207717569786535,0.9074712643678161
2,4,0.6570268074735987,0.6662875710804225
2,5,0.9666174540682415,0.9681758530183727
2,6,0.6221862348178138,0.634089068825911
2,7,0.8980193157636275,0.8987559338680635
3,4,0.8899864682002706,0.9190798376184033
3,5,0.7819548872180451,0.8646616541353384
3,6,0.7947459584295612,0.9167147806004619
3,7,0.6779661016949152,0.8077330508474576
4,5,0.9562964930924548,0.9580233793836345
4,6,0.6155160628844839,0.6828434723171565
4,7,0.8684346701164295,0.8610608020698577
5,6,0.9695714285714285,0.9675714285714285
5,7,0.8932648401826484,0.9098173515981736
6,7,0.8467627933276788,0.8491659598529827
