Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.9827864443249059,0.9854760623991393
0,2,0.9973614775725593,0.9973614775725593
0,3,0.9904109589041096,0.9904109589041096
0,4,0.996031746031746,0.9976190476190476
0,5,0.9950819672131147,0.9950819672131147
1,2,0.9946702198534311,0.9933377748167888
1,3,0.9871011541072641,0.9871011541072641
1,4,0.9870194707938093,0.9915127309036446
1,5,0.9948263118994827,0.9933481152993349
2,3,0.9838709677419355,0.9865591397849462
2,4,0.9977827050997783,0.9966740576496674
2,5,0.996031746031746,0.996031746031746
3,4,0.994279176201373,0.994279176201373
3,5,0.96875,0.9732142857142857
4,5,0.9960212201591512,0.9946949602122016
