Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy
0,1,0.837167836190038,0.9502473254342575
0,2,0.8025573961057832,0.963092124382447
0,3,0.9178002707755786,0.9566759074205403
0,4,0.8444868923725465,0.9500065867474641
0,5,0.834192882929345,0.9614492006188757
0,6,0.7794514940646746,0.9558739255014327
0,7,0.8038250858787485,0.9523721102961656
0,8,0.7946488294314381,0.9591973244147157
0,9,0.8867665561020245,0.9664874756948416
0,10,0.7933823529411764,0.9689950980392157
0,11,0.8435979191139453,0.953515690552106
0,12,0.9280193236714975,0.8681159420289855
1,1,0.8375704589899919,0.9485217991487404
1,2,0.8054635280441732,0.9629177564661435
1,3,0.913029462961769,0.96370317838953
1,4,0.8437623501514951,0.9501383216967462
1,5,0.8365781330582774,0.9632542547705003
1,6,0.7711011051985264,0.9558739255014327
1,7,0.8003899359390957,0.9590567263949494
1,8,0.7934065934065934,0.9604395604395605
1,9,0.8794464142742766,0.9605398604597964
1,10,0.7881127450980392,0.95625
1,11,0.8333613022319181,0.9602282262124517
1,12,0.9214975845410628,0.7847826086956522
2,1,0.835557344990222,0.9463936500632693
2,2,0.804940424295263,0.9649520488230166
2,3,0.9185094449100638,0.9699568048481723
2,4,0.8525227242787512,0.955407719668028
2,5,0.8378029912325942,0.955582774626096
2,6,0.7815800245599672,0.9512893982808023
2,7,0.8098598087457061,0.9697335437749512
2,8,0.7994266602962256,0.9644529383659819
2,9,0.88871096877502,0.9651149491021389
2,10,0.7996323529411765,0.9583333333333334
2,11,0.8435979191139453,0.9553616378587011
2,12,0.927536231884058,0.8599033816425121
3,1,0.8379730817899459,0.9634188427470378
3,2,0.8030804998546934,0.9558267945364719
3,3,0.9163174521307459,0.9683450454516149
3,4,0.8486365432749309,0.9567250691608483
3,5,0.841026302217638,0.9542289840123775
3,6,0.7774048301268932,0.956283258288989
3,7,0.8035465602079659,0.962584718224863
3,8,0.7997133301481127,0.9451505016722408
3,9,0.8835639940523847,0.9699187921765984
3,10,0.8009803921568628,0.9634803921568628
3,11,0.8395703977177379,0.9619063601275382
3,12,0.928743961352657,0.8818840579710145
4,1,0.8403313010468193,0.9552513516622569
4,2,0.8111014240046498,0.9649520488230166
4,3,0.9244407194893947,0.9569337889239894
4,4,0.857792122250033,0.964629166117771
4,5,0.8430247550283652,0.9677668901495616
4,6,0.8019647973802702,0.956610724519034
4,7,0.821279361247795,0.9593352520657321
4,8,0.8086000955566173,0.9653129479216436
4,9,0.893400434633421,0.9632849136452019
4,10,0.808578431372549,0.9506127450980392
4,11,0.8524920288639033,0.9441181406276221
4,12,0.9268115942028986,0.864975845410628
5,1,0.8485563096744507,0.9588174393189923
5,2,0.812205754141238,0.9769253124091833
5,3,0.9446199471342918,0.9210237895686932
5,4,0.8782110393887498,0.9658806481359504
5,5,0.8570139247034554,0.9495229499742135
5,6,0.824232501023332,0.9574293900941465
5,7,0.8313062853959706,0.9598923034072974
5,8,0.829144768275203,0.9586239847109412
5,9,0.9178771588699531,0.9655724579663731
5,10,0.8341911764705883,0.9627450980392157
5,11,0.8702802483638195,0.9563685182077529
5,12,0.9326086956521739,0.8710144927536232
6,1,0.8464281605889796,0.8971586333831819
6,2,0.8087765184539378,0.9483870967741935
6,3,0.920765908065244,0.9633808265102185
6,4,0.8532472664998024,0.9574496113818997
6,5,0.8463125322331099,0.9650593089221248
6,6,0.7933688088415882,0.9649611133851822
6,7,0.8163587410639681,0.9644415560300807
6,8,0.8085045389393215,0.9577639751552796
6,9,0.892371039688894,0.9599679743795037
6,10,0.807843137254902,0.9633578431372549
6,11,0.8488001342507132,0.9619063601275382
6,12,0.9355072463768116,0.8666666666666667
7,1,0.8391234326469573,0.9423099045208788
7,2,0.8059285091543156,0.9482708514966579
7,3,0.9216040229514538,0.9661530526722971
7,4,0.8511395073112897,0.9581082861283099
7,5,0.8398014440433214,0.9620938628158845
7,6,0.7894392140810479,0.9578387228817028
7,7,0.8100454925262278,0.9517222170643395
7,8,0.8035355948399426,0.9384615384615385
7,9,0.8903122497998399,0.9674024934233101
7,10,0.8029411764705883,0.9515931372549019
7,11,0.8471220003356268,0.94932035576439
7,12,0.9272946859903382,0.8345410628019324
8,1,0.8360750028758771,0.9509950534913149
8,2,0.8056378959604766,0.9407149084568439
8,3,0.9174134485204049,0.9491973438205145
8,4,0.8464629166117771,0.9561981293637202
8,5,0.8375451263537906,0.9704100051572976
8,6,0.7769136307818256,0.9494883340155547
8,7,0.8044749791105746,0.9459660198681645
8,8,0.8036311514572384,0.955661729574773
8,9,0.884822143429029,0.9480727439094132
8,10,0.7962009803921568,0.9508578431372549
8,11,0.8417519718073502,0.9254908541701627
8,12,0.9292270531400966,0.8589371980676328
9,1,0.8354998274473715,0.9620959392614747
9,2,0.8006393490264458,0.9657657657657658
9,3,0.9159306298755722,0.9626716523757334
9,4,0.8445527598471875,0.9710841786325912
9,5,0.8377385250128933,0.964414646725116
9,6,0.776422431436758,0.9708555055259926
9,7,0.806703184476836,0.9544146318819051
9,8,0.799235547061634,0.9424749163879599
9,9,0.8827633535399748,0.9621411414846163
9,10,0.7991421568627451,0.9637254901960784
9,11,0.8399060245007551,0.9615707333445209
9,12,0.9294685990338164,0.8794685990338165
