Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy
0,1,0.9023802400186164,0.6688441208736412
0,2,0.7150405072208524,0.6536339086532816
0,3,0.2297780959198282,0.6889763779527559
0,4,0.7718208564890487,0.7705132396207911
0,5,0.878316906747536,0.7016679302501896
0,6,0.6245302357362488,0.7593098735907072
0,7,0.7683975788467665,0.7225230965275565
1,1,0.9117285716689948,0.700449351217624
1,2,0.7833804990995626,0.7850527399022382
1,3,0.4202827888834715,0.7591418820087762
1,4,0.8212093023255814,0.8066976744186046
1,5,0.8422163588390501,0.520844327176781
1,6,0.494619448248875,0.8399530424574447
1,7,0.6878130217028381,0.7909015025041736
2,1,0.8707038995373431,0.5972736285525446
2,2,0.6861971830985916,0.7529014084507042
2,3,0.25317258883248733,0.6208756345177665
2,4,0.7552501544163064,0.7493823347745522
2,5,0.8761682242990654,0.7189586114819759
2,6,0.5473277527366388,0.7511268512556343
2,7,0.7652273377180441,0.6665713468687446
3,1,0.8778159476778754,0.6740932813635463
3,2,0.6840390879478827,0.7608671234415365
3,3,0.2710691823899371,0.6823899371069182
3,4,0.7686039360393604,0.7396986469864698
3,5,0.8849206349206349,0.6474867724867724
3,6,0.6022435897435897,0.7724358974358975
3,7,0.7900709219858156,0.7160283687943262
4,1,0.8827351794461662,0.8606751307940951
4,2,0.7273378717305625,0.8723277200525499
4,3,0.24566037735849056,0.6781132075471699
4,4,0.7802142618011383,0.7688316036156679
4,5,0.8660785886126704,0.6295108259823576
4,6,0.5670753064798599,0.8227670753064799
4,7,0.7512520868113522,0.6671118530884808
5,1,0.8697171490736467,0.8881288323333553
5,2,0.6749418153607447,0.8819683032250915
5,3,0.26121212121212123,0.8115151515151515
5,4,0.7546799516908212,0.861262077294686
5,5,0.8813613231552163,0.5820610687022901
5,6,0.5570754716981132,0.8970125786163522
5,7,0.7742112482853224,0.8318244170096022
