Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,0,0.9778035688379515,0.9939068620339475
1,1,0.9918758160452633,0.9969534310169738
1,2,0.9690990860293051,0.992746264326128
1,3,0.9692441607427825,0.9923110401856956
1,4,0.9717829682286377,0.9931089511098216
1,5,0.9720731176555927,0.9931814884665603
1,6,0.9664877411867111,0.9820832728855361
1,7,0.9689540113158277,0.9882489482083273
1,8,0.9697519222399535,0.9843319309444364
1,9,0.9690990860293051,0.9776584941244741
2,0,0.9818449099595736,0.9921352443954429
2,1,0.9958103638368246,0.997574421168688
2,2,0.9689819919147372,0.9955163542815142
2,3,0.9730981256890849,0.991694230062477
2,4,0.9754502021315693,0.9942668136714443
2,5,0.97449467107681,0.9928702682837193
2,6,0.9625872840867328,0.9930172730613744
2,7,0.9691289966923925,0.9964718853362734
2,8,0.9703785373024624,0.9922822491730982
2,9,0.9685409775817714,0.9931642778390297
3,0,0.996138023675594,0.9964738477038032
3,1,0.99890857190832,0.997229451767274
3,2,0.9928637394005541,0.9971454957602216
3,3,0.9942909915204433,0.9955503316262279
3,4,0.9958021996473848,0.9968936277390648
3,5,0.9919402233229787,0.9932835194358156
3,6,0.989505499118462,0.9945428595416002
3,7,0.9917723113088741,0.9975652757954832
3,8,0.9832087985895391,0.9973134077743262
3,9,0.9916883553018219,0.9951305515909663
4,0,0.9834225522362287,0.9956829563115178
4,1,0.996373683301675,0.9977551372819893
4,2,0.9680538767052322,0.9946468658262821
4,3,0.9711621481609394,0.9929200483508893
4,4,0.9766016232084269,0.993956138836125
4,5,0.9727162838887929,0.9858400967017786
4,6,0.9496632705922984,0.9926610257295804
4,7,0.9660680366085305,0.9952512519426696
4,8,0.9690899671904679,0.9944741840787429
4,9,0.965463650492143,0.9894664134001037
5,0,0.9702820685023505,0.9954667562122229
5,1,0.9832941571524513,0.9979852249832102
5,2,0.9675957018132975,0.9935359301544661
5,3,0.9638179986568166,0.9950470114170584
5,4,0.9655809267965078,0.9947951645399598
5,5,0.9691907320349228,0.9952988582941572
5,6,0.9664204163868368,0.996390194761585
5,7,0.9651611820013432,0.9964741437206178
5,8,0.9659167226326394,0.9969778374748153
5,9,0.9701141705842847,0.9940396239086635
6,0,0.9808473592571096,0.9934997098084736
6,1,0.9953569355774812,0.9969820081253628
6,2,0.9594892629135229,0.9937318630295995
6,3,0.9649448636099826,0.9916424840394661
6,4,0.9749274521183982,0.9969820081253628
6,5,0.9695879280325015,0.9881601857225769
6,6,0.9459082994776552,0.9936157864190366
6,7,0.955310504933256,0.9937318630295995
6,8,0.9628554846198492,0.9931514799767847
6,9,0.9573998839233895,0.987695879280325
7,0,0.9739227443871148,0.995398131362432
7,1,0.9931669223260354,0.9981871426579277
7,2,0.9693208757495468,0.9949797796681077
7,3,0.9689025240552224,0.9967926370101798
7,4,0.9772695579417097,0.995398131362432
7,5,0.9728071398689164,0.9928880211964859
7,6,0.9239994421977409,0.997350439269279
7,7,0.9655557105006275,0.9969320875749547
7,8,0.9705759308325199,0.9960953841863059
7,9,0.9479849393390043,0.9981871426579277
8,0,0.9624180626365623,0.9962126729788784
8,1,0.9858703568827385,0.9949016751638747
8,2,0.9452294246176256,0.9967953386744356
8,3,0.9430444282592862,0.9949016751638747
8,4,0.9512017479970867,0.9953386744355426
8,5,0.9513474144209759,0.9927166788055353
8,6,0.9385287691187182,0.9976693372177713
8,7,0.9395484340859432,0.995047341587764
8,8,0.937946103423161,0.9969410050983248
8,9,0.9510560815731974,0.9911143481427531
9,0,0.983278242271048,0.9988333657398406
9,1,0.9968889753062415,1.0
9,2,0.9663620454987362,0.9990278047832004
9,3,0.9706397044526541,0.9988333657398406
9,4,0.981139412794089,0.9974722924363212
9,5,0.9679175578456154,0.9768617538401712
9,6,0.9268909196966751,0.9972778533929613
9,7,0.9603344351545791,0.9976667314796811
9,8,0.9533346295936224,0.9951390239160023
9,9,0.9515846782033832,0.9974722924363212
10,0,0.9578947368421052,0.9951754385964913
10,1,0.9918859649122806,0.9960526315789474
10,2,0.9642543859649123,0.9960526315789474
10,3,0.9453947368421053,0.9921052631578947
10,4,0.9701754385964912,0.9896929824561403
10,5,0.9605263157894737,0.9951754385964913
10,6,0.9076754385964912,0.9964912280701754
10,7,0.9572368421052632,0.9945175438596491
10,8,0.962938596491228,0.9973684210526316
10,9,0.918201754385965,0.9980263157894737
11,0,0.9728698601102161,0.996608732513777
11,1,0.9944891903348877,0.9978804578211107
11,2,0.9169139465875371,0.9923696481559983
11,3,0.9508266214497668,0.9957609156422212
11,4,0.9673590504451038,0.9927935565917761
11,5,0.9330224671470962,0.9927935565917761
11,6,0.9075879610004239,0.993217465027554
11,7,0.910555320050869,0.9970326409495549
11,8,0.9410767274268758,0.9974565493853328
11,9,0.9537939805002119,0.9919457397202205
12,0,0.9462962962962963,0.9851851851851852
12,1,0.9925925925925926,0.9833333333333333
12,2,0.825925925925926,0.9629629629629629
12,3,0.8759259259259259,0.9703703703703703
12,4,0.9351851851851852,0.9888888888888889
12,5,0.8296296296296296,0.9851851851851852
12,6,0.8,0.987037037037037
12,7,0.7925925925925926,0.987037037037037
12,8,0.7944444444444444,0.9907407407407407
12,9,0.8759259259259259,0.9777777777777777
