Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,0,0.9255485221210094,0.9935498258796082
1,1,0.749949183549021,0.9755742258960635
1,2,0.9774229740226116,0.9933546215586433
1,3,0.9069715233046091,0.9845269138446129
1,4,0.906121121891952,0.9963037116895118
1,5,0.9803415993216468,0.9913129250523474
2,0,0.9264440433212996,0.9983453670276775
2,1,0.8425111622243269,0.9856582329860641
2,2,0.9683624801271861,0.993322734499205
2,3,0.9717342702012137,0.9932928776748643
2,4,0.9278563015312132,0.9958775029446407
2,5,0.9913708889612504,0.9809508303484207
3,0,0.9621621621621622,0.9989189189189189
3,1,0.9514388489208633,0.9934052757793765
3,2,0.9700176366843033,0.9929453262786596
3,3,0.9499072356215214,0.9907235621521335
3,4,0.9663236669784846,0.9943872778297475
3,5,0.9689737470167065,0.9809069212410502
4,0,0.9037420569545775,0.9957637091080254
4,1,0.7626201923076923,0.9873798076923077
4,2,0.9781547160113081,0.9925469031097405
4,3,0.8917939425317111,0.9893864871861248
4,4,0.9109947643979057,0.996130207147735
4,5,0.9802297622228159,0.9767566123430403
5,0,0.9128738621586476,0.9947984395318595
5,1,0.9206349206349206,0.9497354497354498
5,2,0.9002433090024331,0.9878345498783455
5,3,0.7728459530026109,0.9843342036553525
5,4,0.9090909090909091,0.9802847754654983
5,5,0.9201520912547528,0.9961977186311787
6,0,0.904642409033877,0.9967377666248431
6,1,0.7821489001692047,0.9875211505922166
6,2,0.9760132340777502,0.9961400606561897
6,3,0.8719088635732147,0.9941650458460684
6,4,0.8982804553160572,0.9975781060789537
6,5,0.973555619430871,0.9655073296924404
7,0,0.8590551181102363,0.9952755905511811
7,1,0.8430203676105316,0.9846000993541977
7,2,0.8541666666666666,0.9967105263157895
7,3,0.7613122171945701,0.996606334841629
7,4,0.8585572842998586,0.987977369165488
7,5,0.8952879581151832,0.9777486910994765
