Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
1,2,0.9756235182550972,0.9778473210052158
1,3,0.9791896740523287,0.9802101535378952
1,4,0.9665707752452608,0.9675149369329498
1,5,0.9756566777654458,0.9765347145147367
1,6,0.9717380092831356,0.973668312090179
1,7,0.9699208188489764,0.9710071456160679
1,8,0.9767363098645296,0.9786634230108758
1,9,0.9776970415956105,0.9788981982649959
1,10,0.9704018981923143,0.9722364912795676
1,11,0.9776191184491051,0.9792503346720214
1,12,0.977389871141744,0.9793377284986515
2,3,0.9860765460030166,0.987165346907994
2,4,0.9741441705790297,0.9762470657276995
2,5,0.9833284356939955,0.9854980899206582
2,6,0.9732960263112682,0.9754509977173993
2,7,0.976938983979869,0.9776116799960136
2,8,0.9836579020484454,0.9862948649945694
2,9,0.9853346285088047,0.9868190988567586
2,10,0.977948293588104,0.9804207728378345
2,11,0.9846192110630254,0.9865144505795155
2,12,0.9850091130012151,0.9868570271364925
3,4,0.9885444010878562,0.9884687241338536
3,5,0.9973869251235272,0.9975532117065754
3,6,0.9855680325227436,0.9808532262462507
3,7,0.9902468267000286,0.9882451064717075
3,8,0.9977218794494542,0.9978959025470653
3,9,0.9994440473353983,0.9995234691446271
3,10,0.9917841320982682,0.9920741039065646
3,11,0.9982041137020512,0.9982714594382243
3,12,0.9987803815663385,0.9989662281848012
4,5,0.9857491152182462,0.9854554987547516
4,6,0.9717923657490363,0.9694358473149807
4,7,0.9804906760842229,0.9803943601680177
4,8,0.9861180449311538,0.9836057653595297
4,9,0.9868280247639858,0.9859091800431409
4,10,0.9851574212893554,0.9836914875895386
4,11,0.9851812988224321,0.9850180715868019
4,12,0.9856083707025411,0.9856502242152466
5,6,0.9816901408450704,0.9789265898420828
5,7,0.9876112251882272,0.9854841257305323
5,8,0.9961525392718054,0.9962727724195614
5,9,0.9968157237365834,0.9969310164978451
5,10,0.9885681482696408,0.9892679459843639
5,11,0.9953625136520206,0.9958217816236803
5,12,0.9959008302850839,0.996289844974743
6,7,0.9761477958661057,0.9724285104566794
6,8,0.9811859486997215,0.9748770807416622
6,9,0.9810127856639485,0.9775764287392195
6,10,0.9732851502375695,0.9718798099444556
6,11,0.978395540296083,0.974600361797172
6,12,0.9773393415337149,0.9753257824869078
7,8,0.9853964984552008,0.9840851355990388
7,9,0.9873026412867051,0.984838424081452
7,10,0.9785914638768858,0.9755818361003714
7,11,0.9839438417358009,0.9825313763029143
7,12,0.9831440232089296,0.9810984904361508
8,9,0.9966445220132868,0.9964718687835454
8,10,0.9866412365399134,0.9868001748321215
8,11,0.9947300439163007,0.9949797640575218
8,12,0.994762566239646,0.9941143180531975
9,10,0.9883069209418928,0.9884770346494762
9,11,0.9963049009846222,0.9969355017147915
9,12,0.9966358284272497,0.997210541070928
10,11,0.9838882921589689,0.9848549946294307
10,12,0.9813192948871341,0.9854032065087341
11,12,0.9859508278976418,0.9863856832246195
