Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.98,0.9877777777777778
0,2,0.99,0.9933333333333333
0,3,0.9733333333333334,0.9866666666666667
0,4,0.9788888888888889,0.9955555555555555
0,5,0.9877777777777778,0.9888888888888889
0,6,0.9844444444444445,0.9811111111111112
0,7,0.9777777777777777,0.9888888888888889
0,8,0.9933333333333333,0.9944444444444445
0,9,0.9855555555555555,0.9866666666666667
1,2,0.9988888888888889,0.9966666666666667
1,3,0.9977777777777778,0.9988888888888889
1,4,0.9977777777777778,0.9988888888888889
1,5,0.9811111111111112,0.9977777777777778
1,6,0.9922222222222222,0.9988888888888889
1,7,0.9955555555555555,0.9955555555555555
1,8,0.9988888888888889,1.0
1,9,0.9977777777777778,1.0
2,3,0.9844444444444445,0.9933333333333333
2,4,0.9822222222222222,0.9911111111111112
2,5,0.9744444444444444,0.9855555555555555
2,6,0.9733333333333334,0.9822222222222222
2,7,0.9922222222222222,0.9955555555555555
2,8,0.9766666666666667,0.9877777777777778
2,9,0.99,0.9888888888888889
3,4,0.9766666666666667,0.99
3,5,0.9911111111111112,0.9911111111111112
3,6,0.9622222222222222,0.9666666666666667
3,7,0.9755555555555555,0.9866666666666667
3,8,0.9877777777777778,0.9911111111111112
3,9,0.98,0.99
4,5,0.9744444444444444,0.9811111111111112
4,6,0.9622222222222222,0.9766666666666667
4,7,0.9888888888888889,0.9855555555555555
4,8,0.9955555555555555,0.9988888888888889
4,9,0.9977777777777778,0.9977777777777778
5,6,0.9733333333333334,0.9777777777777777
5,7,0.99,0.9888888888888889
5,8,0.99,0.9955555555555555
5,9,0.9833333333333333,0.9911111111111112
6,7,0.9833333333333333,0.9855555555555555
6,8,0.9811111111111112,0.98
6,9,0.97,0.9755555555555555
7,8,0.9933333333333333,0.9955555555555555
7,9,0.9922222222222222,0.9966666666666667
8,9,0.9544444444444444,0.97
Average loss of accuracy: 0.00530864197530865
