Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy
0,1,0.9768692845615923,0.9790209790209791
0,2,0.9947229551451188,0.9986807387862797
0,3,0.9849315068493151,0.9876712328767123
0,4,0.9968253968253968,0.9968253968253968
0,5,0.9934426229508196,0.9934426229508196
1,2,0.9973351099267155,0.9946702198534311
1,3,0.9871011541072641,0.9871011541072641
1,4,0.9885172241637543,0.9890164752870694
1,5,0.9926090169992609,0.991130820399113
2,3,0.9838709677419355,0.9919354838709677
2,4,0.9955654101995566,0.9933481152993349
2,5,0.996031746031746,0.9880952380952381
3,4,0.9919908466819222,0.988558352402746
3,5,0.9642857142857143,0.96875
4,5,0.993368700265252,0.9960212201591512
