Replaced Class,Replaced With Class,Modularized Accuracy,Model Accuracy,Diff,,,,
3,3,0.9374213836,0.7808176101,0.1566037736,,,,
2,3,0.9302030457,0.796319797,0.1338832487,,,,
2,5,0.905540721,0.7893858478,0.1161548732,,,,
4,5,0.893744988,0.7778668805,0.1158781075,,,,
0,3,0.9266284896,0.8135289907,0.1130994989,,,,
3,5,0.9189814815,0.8108465608,0.1081349206,,,,
5,5,0.9068066158,0.8053435115,0.1014631043,,,,
4,3,0.9226415094,0.8252830189,0.09735849057,,,,
1,3,0.9361287177,0.8742077036,0.06192101414,,,,
0,5,0.8976497346,0.8529188779,0.04473085671,,,,
3,7,0.8663829787,0.8255319149,0.04085106383,,,,
1,5,0.9002638522,0.87176781,0.02849604222,,,,
2,7,0.8481555619,0.823563054,0.02459250786,,,,
0,7,0.8394393119,0.8155463523,0.02389295954,,,,
5,3,0.9287878788,0.9081818182,0.02060606061,,,,
4,7,0.8310517529,0.8166944908,0.0143572621,,,,
1,7,0.8397328881,0.8572621035,-0.01752921536,,,,
5,7,0.8515775034,0.895473251,-0.0438957476,,,,
1,2,0.8191407255,0.8815281708,-0.06238744533,,,,
3,2,0.7313265192,0.7941143435,-0.06278782433,,,,
3,4,0.715098401,0.7842865929,-0.06918819188,,,,
4,2,0.7515824675,0.8288546519,-0.0772721844,,,,
3,6,0.7557692308,0.8450320513,-0.08926282051,,,,
2,6,0.7229555699,0.8179330328,-0.09497746297,,,,
1,6,0.7785169243,0.8912150264,-0.1126981021,,,,
1,4,0.7693023256,0.8906046512,-0.1213023256,,,,
4,1,0.6586024193,0.7804991836,-0.1218967643,,,,
0,6,0.7225828493,0.8472839084,-0.1247010591,,,,
4,6,0.7215411559,0.8464098074,-0.1248686515,,,,
2,2,0.7331830986,0.8609577465,-0.1277746479,,,,
1,1,0.7729514128,0.9030949696,-0.1301435568,,,,
0,2,0.7557825525,0.898321005,-0.1425384525,,,,
2,4,0.6822112415,0.8253551575,-0.143143916,,,,
4,4,0.6802812186,0.8309340475,-0.1506528289,,,,
0,1,0.6450417207,0.8064392806,-0.1613975599,,,,
5,2,0.7213786989,0.8990357974,-0.1776570985,,,,
5,6,0.729245283,0.9081761006,-0.1789308176,,,,
0,4,0.6871526643,0.8692383132,-0.1820856489,,,,
5,4,0.6853864734,0.9098731884,-0.224486715,,,,
2,1,0.6233146067,0.8586087244,-0.2352941176,,,,
3,1,0.6612935192,0.9052322125,-0.2439386933,,mean,median,Better in 
5,1,0.6246126459,0.9313311795,0.3067185337,,-0.04076356024,-0.06598800811,0.380952381
